org_id,final_tsn,final_id,kingdom,subkingdom,infrakingdom,superphylum,phylum,subphylum,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,tribe,subtribe,genus,subgenus,species,subspecies
acricotopus_nitidellus,128466,acricotopus_nitidellus,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,orthocladiinae,,,acricotopus,,acricotopus_nitidellus,
acricotopus,128463,acricotopus,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,orthocladiinae,,,acricotopus,,,
acroneuria_abnormis,102919,acroneuria_abnormis,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,,,perlidae,acroneuriinae,acroneuriini,,acroneuria,,acroneuria_abnormis,
acroneuria_arenosa,102920,acroneuria_arenosa,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,,,perlidae,acroneuriinae,acroneuriini,,acroneuria,,acroneuria_arenosa,
acroneuria_carolinensis,102922,acroneuria_carolinensis,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,,,perlidae,acroneuriinae,acroneuriini,,acroneuria,,acroneuria_carolinensis,
acroneuria_lycorias,102918,acroneuria_lycorias,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,,,perlidae,acroneuriinae,acroneuriini,,acroneuria,,acroneuria_lycorias,
acroneuria,102917,acroneuria,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,,,perlidae,acroneuriinae,acroneuriini,,acroneuria,,,
adicrophleps_hitchcocki,116957,adicrophleps_hitchcocki,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,,,limnephiloidea,brachycentridae,,,,adicrophleps,,adicrophleps_hitchcocki,
adicrophleps,116956,adicrophleps,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,,,limnephiloidea,brachycentridae,,,,adicrophleps,,,
aeolosoma_headleyi,68426,aeolosoma_headleyi,animalia,bilateria,protostomia,lophozoa,annelida,,,,,,,,,,aeolosomatidae,,,,aeolosoma,,aeolosoma_headleyi,
aeolosoma_leidyi,68430,aeolosoma_leidyi,animalia,bilateria,protostomia,lophozoa,annelida,,,,,,,,,,aeolosomatidae,,,,aeolosoma,,aeolosoma_leidyi,
aeolosoma_quarternarium,68424,aeolosoma,animalia,bilateria,protostomia,lophozoa,annelida,,,,,,,,,,aeolosomatidae,,,,aeolosoma,,aeolosoma_quarternarium,
aeolosoma,68424,aeolosoma,animalia,bilateria,protostomia,lophozoa,annelida,,,,,,,,,,aeolosomatidae,,,,aeolosoma,,,
aeolosoma_travancorense,68424,aeolosoma,animalia,bilateria,protostomia,lophozoa,annelida,,,,,,,,,,aeolosomatidae,,,,aeolosoma,,aeolosoma_travancorense,
aeolosoma_tenebrarum,68428,aeolosoma_tenebrarum,animalia,bilateria,protostomia,lophozoa,annelida,,,,,,,,,,aeolosomatidae,,,,aeolosoma,,aeolosoma_tenebrarum,
aeshna,101603,aeshna,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,odonata,anisoptera,,,aeshnidae,,,,aeshna,,,
agabetes,112072,agabetes,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,coleoptera,adephaga,,,dytiscidae,laccophilinae,agabetini,,agabetes,,,
agabus,111966,agabus,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,coleoptera,adephaga,,,dytiscidae,agabinae,agabini,,agabus,,,
agapetus,117121,agapetus,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,,,glossosomatoidea,glossosomatidae,agapetinae,,,agapetus,,,
agarodes,116983,agarodes,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,,,sericostomatoidea,sericostomatidae,,,,agarodes,,,
agnetina_annulipes,102983,agnetina_annulipes,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,,,perlidae,perlinae,perlini,,agnetina,,agnetina_annulipes,
agnetina_capitata,102979,agnetina_capitata,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,,,perlidae,perlinae,perlini,,agnetina,,agnetina_capitata,
agnetina_flavescens,102984,agnetina_flavescens,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,,,perlidae,perlinae,perlini,,agnetina,,agnetina_flavescens,
agnetina,102975,agnetina,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,,,perlidae,perlinae,perlini,,agnetina,,,
agraylea,115635,agraylea,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,,,hydroptiloidea,hydroptilidae,hydroptilinae,hydroptilini,,agraylea,,,
alisotrichia,181197,alisotrichia,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,,,hydroptiloidea,hydroptilidae,hydroptilinae,leucotrichiini,,alisotrichia,,,
allocapnia,102644,allocapnia,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,euholognatha,,,capniidae,capniinae,,,allocapnia,,,
allocapnia_vivipara,102657,allocapnia_vivipara,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,euholognatha,,,capniidae,capniinae,,,allocapnia,,allocapnia_vivipara,
alloperla,103203,alloperla,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,systellognatha,,,chloroperlidae,chloroperlinae,,,alloperla,,,
almyracuma_proximoculi,90979,almyracuma_proximoculi,animalia,bilateria,protostomia,ecdysozoa,arthropoda,crustacea,malacostraca,eumalacostraca,,peracarida,cumacea,,,,nannastacidae,,,,almyracuma,,almyracuma_proximoculi,
almyracuma,90978,almyracuma,animalia,bilateria,protostomia,ecdysozoa,arthropoda,crustacea,malacostraca,eumalacostraca,,peracarida,cumacea,,,,nannastacidae,,,,almyracuma,,,
alotanypus_aris,206646,alotanypus,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,coelotanypodini,,alotanypus,,alotanypus_aris,
alotanypus,206646,alotanypus,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,coelotanypodini,,alotanypus,,,
ameletus_ludens,101010,ameletus_ludens,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,ameletidae,,,,ameletus,,ameletus_ludens,
ameletus,100996,ameletus,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,ameletidae,,,,ameletus,,,
amnicola_decepta,70747,amnicola,animalia,bilateria,protostomia,lophozoa,mollusca,,gastropoda,,,,neotaenioglossa,,,,hydrobiidae,,,,amnicola,,amnicola_decepta,
amnicola,70747,amnicola,animalia,bilateria,protostomia,lophozoa,mollusca,,gastropoda,,,,neotaenioglossa,,,,hydrobiidae,,,,amnicola,,,
amnicola_granum,70772,amnicola_granum,animalia,bilateria,protostomia,lophozoa,mollusca,,gastropoda,,,,neotaenioglossa,,,,hydrobiidae,,,,amnicola,,amnicola_granum,
amnicola_limosus,70748,amnicola_limosus,animalia,bilateria,protostomia,lophozoa,mollusca,,gastropoda,,,,neotaenioglossa,,,,hydrobiidae,,,,amnicola,,amnicola_limosus,
amphichaeta_americana,68981,amphichaeta_americana,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,naidinae,,,amphichaeta,,amphichaeta_americana,
amphichaeta,68979,amphichaeta,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,naidinae,,,amphichaeta,,,
amphinemura_delosa,102541,amphinemura_delosa,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,euholognatha,,,nemouridae,amphinemurinae,,,amphinemura,,amphinemura_delosa,
amphinemura_nigritta,102542,amphinemura_nigritta,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,euholognatha,,,nemouridae,amphinemurinae,,,amphinemura,,amphinemura_nigritta,
amphinemura,102540,amphinemura,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,euholognatha,,,nemouridae,amphinemurinae,,,amphinemura,,,
amphinemura_wui,102543,amphinemura_wui,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,polyneoptera,plecoptera,euholognatha,,,nemouridae,amphinemurinae,,,amphinemura,,amphinemura_wui,
anacaena,112878,anacaena,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,coleoptera,polyphaga,staphyliniformia,hydrophiloidea,hydrophilidae,hydrophilinae,anacaenini,,anacaena,,,
anax_longipes,101599,anax_longipes,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,odonata,anisoptera,,,aeshnidae,,,,anax,,anax_longipes,
anchytarsus_bicolor,114668,anchytarsus_bicolor,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,coleoptera,polyphaga,elateriformia,byrrhoidea,ptilodactylidae,anchytarsinae,,,anchytarsus,,anchytarsus_bicolor,
ancyronyx,114193,ancyronyx,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,coleoptera,polyphaga,elateriformia,byrrhoidea,elmidae,elminae,ancyronychini,,ancyronyx,,,
ancyronyx_variegatus,114194,ancyronyx_variegatus,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,coleoptera,polyphaga,elateriformia,byrrhoidea,elmidae,elminae,ancyronychini,,ancyronyx,,ancyronyx_variegatus,
anodonta_implicata,983774,pyganodon_implicata,animalia,bilateria,protostomia,lophozoa,mollusca,,bivalvia,palaeoheterodonta,,,unionoida,,,unionoidea,unionidae,unioninae,alasmidontini,,pyganodon,,pyganodon_implicata,
anodonta,79930,anodonta,animalia,bilateria,protostomia,lophozoa,mollusca,,bivalvia,palaeoheterodonta,,,unionoida,,,unionoidea,unionidae,unioninae,anodontini,,anodonta,,,
anopheles,125956,anopheles,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,culicidae,anophelinae,,,anopheles,,,
anthopotamus,568559,anthopotamus,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,furcatergalia,scapphodonta,potamanthoidea,potamanthidae,,,,anthopotamus,,,
anthopotamus_verticis,609662,anthopotamus_verticis,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,furcatergalia,scapphodonta,potamanthoidea,potamanthidae,,,,anthopotamus,,anthopotamus_verticis,
antocha,119656,antocha,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,tipulomorpha,,tipulidae,limoniinae,limoniini,,antocha,,,
apatania,115935,apatania,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,,,limnephiloidea,apataniidae,apataniinae,apataniini,,apatania,,,
apedilum,206655,apedilum,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,chironominae,chironomini,,apedilum,,,
apsectrotanypus_johnsoni,128024,apsectrotanypus_johnsoni,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,tanypodinae,macropelopiini,,apsectrotanypus,,apsectrotanypus_johnsoni,
arcteonais_lomondi,68976,arcteonais_lomondi,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,naidinae,,,arcteonais,,arcteonais_lomondi,
arcteonais,68975,arcteonais,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,naidinae,,,arcteonais,,,
arctopsyche_ladogensis,115534,arctopsyche_ladogensis,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,,,hydropsychoidea,hydropsychidae,arctopsychinae,,,arctopsyche,,arctopsyche_ladogensis,
arctopsyche,115529,arctopsyche,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,,,hydropsychoidea,hydropsychidae,arctopsychinae,,,arctopsyche,,,
argia_moesta,102146,argia_moesta,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,odonata,zygoptera,,,coenagrionidae,,,,argia,,argia_moesta,
argia,102139,argia,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,odonata,zygoptera,,,coenagrionidae,,,,argia,,,
arrenurus,82864,arrenurus,animalia,bilateria,protostomia,ecdysozoa,arthropoda,chelicerata,arachnida,acari,,acariformes,trombidiformes,prostigmata,,arrenuroidea,arrenuridae,,,,arrenurus,,,
atherix,130929,atherix,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,brachycera,tabanomorpha,,athericidae,,,,atherix,,,
atractides,83282,atractides,animalia,bilateria,protostomia,ecdysozoa,arthropoda,chelicerata,arachnida,acari,,acariformes,trombidiformes,prostigmata,,hygrobatoidea,hygrobatidae,,,,atractides,,,
atrichopogon,127113,atrichopogon,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,ceratopogonidae,forcipomyiinae,,,atrichopogon,,,
attenella_attenuata,101340,attenella_attenuata,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,furcatergalia,pannota,ephemerelloidea,ephemerellidae,,,,attenella,,attenella_attenuata,
attenella_margarita,101343,attenella_margarita,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,furcatergalia,pannota,ephemerelloidea,ephemerellidae,,,,attenella,,attenella_margarita,
attenella,101338,attenella,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,furcatergalia,pannota,ephemerelloidea,ephemerellidae,,,,attenella,,,
aulodrilus_americanus,68683,aulodrilus_americanus,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,tubificinae,,,aulodrilus,,aulodrilus_americanus,
aulodrilus_limnobius,68682,aulodrilus_limnobius,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,tubificinae,,,aulodrilus,,aulodrilus_limnobius,
aulodrilus_pigueti,68680,aulodrilus_pigueti,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,tubificinae,,,aulodrilus,,aulodrilus_pigueti,
aulodrilus_pluriseta,68684,aulodrilus_pluriseta,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,tubificinae,,,aulodrilus,,aulodrilus_pluriseta,
aulodrilus,68679,aulodrilus,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,tubificinae,,,aulodrilus,,,
axarus_festivus,129239,axarus_festivus,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,chironominae,chironomini,,axarus,,axarus_festivus,
axarus,129236,axarus,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,chironomidae,chironominae,chironomini,,axarus,,,
baetis_brunneicolor,100825,baetis_brunneicolor,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,,baetis,,baetis_brunneicolor,
baetis_flavistriga,100835,baetis_flavistriga,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,,baetis,,baetis_flavistriga,
baetis_intercalaris,100808,baetis_intercalaris,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,,baetis,,baetis_intercalaris,
baetis_pluto,100858,baetis_pluto,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,,baetis,,baetis_pluto,
baetis,100800,baetis,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,,baetis,,,
baetis_tricaudatus,100817,baetis_tricaudatus,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,pisciforma,,,baetidae,,,,baetis,,baetis_tricaudatus,
baetisca,101494,baetisca,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,ephemeroptera,carapacea,,,baetiscidae,,,,baetisca,,,
basiaeschna,101648,basiaeschna,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,odonata,anisoptera,,,aeshnidae,,,,basiaeschna,,,
batracobdella_phalera,555638,desserobdella_phalera,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,lumbriculata,,,hirudinida,rhynchobdellida,,,glossiphoniidae,glossiphoniinae,,,desserobdella,,desserobdella_phalera,
batracobdella,69358,batracobdella,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,lumbriculata,,,hirudinida,rhynchobdellida,,,glossiphoniidae,,,,batracobdella,,,
berosus,112812,berosus,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,coleoptera,polyphaga,staphyliniformia,hydrophiloidea,hydrophilidae,hydrophilinae,berosini,,berosus,,,
bezzia,127778,bezzia,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,culicomorpha,,ceratopogonidae,ceratopogoninae,palpomyiini,,bezzia,,,
bithynia,70793,bithynia,animalia,bilateria,protostomia,lophozoa,mollusca,,gastropoda,,,,neotaenioglossa,,,,bithyniidae,,,,bithynia,,,
bithynia_tentaculata,70794,bithynia_tentaculata,animalia,bilateria,protostomia,lophozoa,mollusca,,gastropoda,,,,neotaenioglossa,,,,bithyniidae,,,,bithynia,,bithynia_tentaculata,
bittacomorpha,125765,bittacomorpha,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,ptychopteromorpha,,ptychopteridae,bittacomorphinae,,,bittacomorpha,,,
blepharicera,121255,blepharicera,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,diptera,nematocera,blephariceromorpha,,blephariceridae,blepharicerinae,blepharicerini,,blepharicera,,,
bothrioneurum,68778,bothrioneurum,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,rhyacodrilinae,,,bothrioneurum,,,
bothrioneurum_vejdovskyanum,68779,bothrioneurum_vejdovskyanum,animalia,bilateria,protostomia,lophozoa,annelida,,clitellata,tubificata,,,tubificida,,,,naididae,rhyacodrilinae,,,bothrioneurum,,bothrioneurum_vejdovskyanum,
boyeria_grafiana,101646,boyeria_grafiana,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,odonata,anisoptera,,,aeshnidae,,,,boyeria,,boyeria_grafiana,
boyeria,101645,boyeria,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,odonata,anisoptera,,,aeshnidae,,,,boyeria,,,
boyeria_vinosa,101647,boyeria_vinosa,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,palaeoptera,,odonata,anisoptera,,,aeshnidae,,,,boyeria,,boyeria_vinosa,
brachycentrus_americanus,116912,brachycentrus_americanus,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,,,limnephiloidea,brachycentridae,,,,brachycentrus,brachycentrus_(oligoplectrodes),brachycentrus_americanus,
brachycentrus_appalachia,116921,brachycentrus_appalachia,animalia,bilateria,protostomia,ecdysozoa,arthropoda,hexapoda,insecta,pterygota,neoptera,holometabola,trichoptera,,,limnephiloidea,brachycentridae,,,,brachycentrus,brachycentrus_(sphinctogaster),brachycentrus_appalachia,
