NewID,DATE_bugs,GENSPECIES,INDIV
LGSS-21,7/3/2015,Chironomus sp.,1
LGSS-21,7/3/2015,Polypedilum illinoense,1
LGSS-21,7/3/2015,Undetermined Corixidae,29
LGSS-21,7/3/2015,Undetermined Physidae,1
LGSS-21,7/3/2015,Pseudosuccinea columella,1
LGSS-21,7/3/2015,Fossaria sp.,2
LGSS-21,7/3/2015,Caecidotea sp.,2
LGSS-21,7/3/2015,Gammarus sp.,113
LGSS-21,7/3/2015,Orconectes sp.,4
LGSS-22,7/15/2015,Tricorythodes sp.,10
LGSS-22,7/15/2015,Caenis sp.,13
LGSS-22,7/15/2015,Oecetis sp.,3
LGSS-22,7/15/2015,Dubiraphia sp.,39
LGSS-22,7/15/2015,Dubiraphia vittata,1
LGSS-22,7/15/2015,Macronychus sp.,1
LGSS-22,7/15/2015,Stenelmis sp.,1
LGSS-22,7/15/2015,Procladius sp.,8
LGSS-22,7/15/2015,Cryptochironomus sp.,6
LGSS-22,7/15/2015,Paratendipes sp.,5
LGSS-22,7/15/2015,Cryptotendipes sp.,19
LGSS-22,7/15/2015,Tanytarsus sp.,11
LGSS-22,7/15/2015,Tanytarsus glabrescens gr.,13
LGSS-22,7/15/2015,Cladotanytarsus sp. 2,24
LGSS-22,7/15/2015,Tanytarsus guerlus gr.,3
LGSS-22,7/15/2015,Pseudochironomus sp.,19
LGSS-22,7/15/2015,Cladotanytarsus sp.,6
LGSS-22,7/15/2015,Chironomus sp.,2
LGSS-22,7/15/2015,Dicrotendipes sp.,2
LGSS-22,7/15/2015,Nilothauma babiyi,2
LGSS-22,7/15/2015,Natarsia sp.,2
LGSS-22,7/15/2015,Cricotopus sylvestris gr.,2
LGSS-22,7/15/2015,Polypedilum scalaenum gr.,5
LGSS-22,7/15/2015,Undetermined Corixidae,3
LGSS-22,7/15/2015,Aeshna sp.,1
LGSS-22,7/15/2015,Undetermined Pisidiidae,3
LGSS-22,7/15/2015,Undetermined Cambaridae,1
LGSS-23,6/18/2015,Callibaetis sp.,1
LGSS-23,6/18/2015,Centroptilum sp.,3
LGSS-23,6/18/2015,Paraleptophlebia sp.,2
LGSS-23,6/18/2015,Ephemera guttulata,2
LGSS-23,6/18/2015,Perlesta sp.,12
LGSS-23,6/18/2015,Dubiraphia sp.,18
LGSS-23,6/18/2015,Stenelmis crenata,2
LGSS-23,6/18/2015,Stenelmis sp.,2
LGSS-23,6/18/2015,Donacia sp.,3
LGSS-23,6/18/2015,Undetermined Hydrophilidae,1
LGSS-23,6/18/2015,Tipula sp.,1
LGSS-23,6/18/2015,Atrichopogon sp.,1
LGSS-23,6/18/2015,Undetermined Tabanidae,1
LGSS-23,6/18/2015,Thienemannimyia gr. spp.,6
LGSS-23,6/18/2015,Natarsia sp.,1
LGSS-23,6/18/2015,Labrundinia sp.,1
LGSS-23,6/18/2015,Procladius sp.,4
LGSS-23,6/18/2015,Cryptochironomus sp.,1
LGSS-23,6/18/2015,Microtendipes pedellus gr.,1
LGSS-23,6/18/2015,Cricotopus bicinctus,1
LGSS-23,6/18/2015,Tanytarsus sp.,2
LGSS-23,6/18/2015,Polypedilum aviceps,1
LGSS-23,6/18/2015,Endotribelos sp.,1
LGSS-23,6/18/2015,Parakiefferiella sp.,1
LGSS-23,6/18/2015,Cladotanytarsus sp.,2
LGSS-23,6/18/2015,Undetermined Hemiptera,1
LGSS-23,6/18/2015,Calopteryx sp.,2
LGSS-23,6/18/2015,Gomphus sp.,1
LGSS-23,6/18/2015,Boyeria sp.,1
LGSS-23,6/18/2015,Aeshna sp.,5
LGSS-23,6/18/2015,Undetermined Lymnaeidae,2
LGSS-23,6/18/2015,Undetermined Valvatidae,2
LGSS-23,6/18/2015,Undetermined Planorbidae,2
LGSS-23,6/18/2015,Viviparus georgianus,1
LGSS-23,6/18/2015,Undetermined Pisidiidae,33
LGSS-23,6/18/2015,Caecidotea sp.,98
LGSS-23,6/18/2015,Crangonyx sp.,7
LGSS-23,6/18/2015,Hyalella azteca,6
LGSS-23,6/18/2015,Undetermined Cambaridae,4
LGSS-23,6/18/2015,Undetermined Lumbriculidae,3
LGSS-23,6/18/2015,Helobdella stagnalis,7
LGSS-23,6/18/2015,Undetermined Hirudinea,1
LGSS-24,6/15/2015,Callibaetis sp.,3
LGSS-24,6/15/2015,Cloeon sp.,1
LGSS-24,6/15/2015,Caenis sp.,1
LGSS-24,6/15/2015,Ilybius sp.,9
LGSS-24,6/15/2015,Gyrinus sp.,2
LGSS-24,6/15/2015,Berosus sp.,1
LGSS-24,6/15/2015,Tropisternus sp.,2
LGSS-24,6/15/2015,Haliplus sp.,1
LGSS-24,6/15/2015,Undetermined Tabanidae,1
LGSS-24,6/15/2015,Chironomus sp.,20
LGSS-24,6/15/2015,Endochironomus sp.,33
LGSS-24,6/15/2015,Microtendipes pedellus gr.,7
LGSS-24,6/15/2015,Tribelos sp.,6
LGSS-24,6/15/2015,Tanytarsus sp.,1
LGSS-24,6/15/2015,Polypedilum flavum,1
LGSS-24,6/15/2015,Polypedilum tritum,2
LGSS-24,6/15/2015,Procladius sp.,6
LGSS-24,6/15/2015,Dicrotendipes neomodestus,2
LGSS-24,6/15/2015,Cricotopus sylvestris gr.,3
LGSS-24,6/15/2015,Dicrotendipes modestus,2
LGSS-24,6/15/2015,Ablabesmyia sp.,5
LGSS-24,6/15/2015,Zavrelimyia sp.,1
LGSS-24,6/15/2015,Paratanytarsus sp.,1
LGSS-24,6/15/2015,Paratendipes sp.,1
LGSS-24,6/15/2015,Cricotopus bicinctus,1
LGSS-24,6/15/2015,Undetermined Belostomatidae,3
LGSS-24,6/15/2015,Aeshna sp.,6
LGSS-24,6/15/2015,Lestes sp.,3
LGSS-24,6/15/2015,Undetermined Libellulidae,10
LGSS-24,6/15/2015,Undetermined Corixidae,14
LGSS-24,6/15/2015,Undetermined Physidae,12
LGSS-24,6/15/2015,Undetermined Planorbidae,1
LGSS-24,6/15/2015,Caecidotea sp.,30
LGSS-24,6/15/2015,Hyalella azteca,13
LGSS-24,6/15/2015,Limnodrilus sp.,1
LGSS-24,6/15/2015,Quistadrilus multisetosus,1
LGSS-24,6/15/2015,Undet. Tubificidae w/o cap. setae,1
LGSS-24,6/15/2015,Ophidonais serpentina,2
LGSS-25,6/25/2015,Haliplus sp.,3
LGSS-25,6/25/2015,Agabus sp.,1
LGSS-25,6/25/2015,Hydroporous sp.,1
LGSS-25,6/25/2015,Dicrotendipes neomodestus,2
LGSS-25,6/25/2015,Thienemannimyia gr. spp.,6
LGSS-25,6/25/2015,Micropsectra polita,184
LGSS-25,6/25/2015,Polypedilum illinoense,29
LGSS-25,6/25/2015,Conchapelopia sp.,8
LGSS-25,6/25/2015,Stictochironomus sp.,6
LGSS-25,6/25/2015,Tribelos jucundum,2
LGSS-25,6/25/2015,Phaenopsectra flavipes,6
LGSS-25,6/25/2015,Heterotrissocladius sp.,2
LGSS-25,6/25/2015,Psectrotanypus dyari,2
LGSS-25,6/25/2015,Micropsectra dives gr.,8
LGSS-25,6/25/2015,Cladotanytarsus sp.,2
LGSS-25,6/25/2015,Trichocorixa sp.,8
LGSS-25,6/25/2015,Caecidotea sp.,16
LGSS-25,6/25/2015,Gammarus sp.,14
LGSS-25,6/25/2015,Prostoma graecense,1
LGSS-25,6/25/2015,Dugesia sp.,1
LGSS-25,6/25/2015,Undetermined Lumbriculidae,5
LGSS-25,6/25/2015,Undetermined Enchytraeidae,16
LGSS-25,6/25/2015,Undet. Tubificidae w/ cap. setae,6
LGSS-25,6/25/2015,Undet. Tubificidae w/o cap. setae,2
LGSS-26,6/25/2015,Optioservus sp.,1
LGSS-26,6/25/2015,Simulium sp.,4
LGSS-26,6/25/2015,Thienemannimyia gr. spp.,12
LGSS-26,6/25/2015,Tribelos sp.,63
LGSS-26,6/25/2015,Chironomus sp.,26
LGSS-26,6/25/2015,Micropsectra polita,96
LGSS-26,6/25/2015,Paratendipes sp.,2
LGSS-26,6/25/2015,Endochironomus sp.,5
LGSS-26,6/25/2015,Dicrotendipes modestus,2
LGSS-26,6/25/2015,Prodiamesa sp.,2
LGSS-26,6/25/2015,Thienemanniella sp.,2
LGSS-26,6/25/2015,Undetermined Pisidiidae,1
LGSS-26,6/25/2015,Caecidotea sp.,26
LGSS-26,6/25/2015,Crangonyx sp.,15
LGSS-26,6/25/2015,Gammarus sp.,35
LGSS-26,6/25/2015,Undetermined Turbellaria,14
LGSS-26,6/25/2015,Undetermined Lumbriculidae,4
LGSS-26,6/25/2015,Undetermined Enchytraeidae,2
LGSS-26,6/25/2015,Limnodrilus sp.,1
LGSS-26,6/25/2015,Undet. Tubificidae w/o cap. setae,2
